id_entrevista,regiao,uf,sexo,idade,cor_raca,religiao,escolaridade,confianca_governo,confianca_judiciario,economia_12meses,voto_2t
44,Sul,Rio Grande Do Sul,Masculino,25 a 34 anos,Branca,Católica,Médio,3,2,Igual,2
45,Sudeste,Rio De Janeiro,Feminino,60 anos ou mais,Preta,Evangélica,Fundamental,3,1,Pouco melhor,2
46,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Evangélica,Médio,2,3,Pouco melhor,1
47,Sudeste,Minas Gerais,Masculino,45 a 59 anos,Parda,Católica,Superior,2,2,Pouco pior,2
48,Sul,Rio Grande Do Sul,Feminino,60 anos ou mais,Branca,Evangélica,Fundamental,2,1,Muito melhor,1
49,Norte,Pará,Masculino,60 anos ou mais,Parda,Católica,Fundamental,4,4,Muito pior,2
50,Sudeste,Minas Gerais,Feminino,25 a 34 anos,Parda,Evangélica,Fundamental,4,2,Pouco melhor,2
51,Centro-Oeste,Goiás,Masculino,35 a 44 anos,Preta,É Ateu/Agnóstico/ Não Acredita Em Deus,Médio,1,1,Muito pior,2
52,Nordeste,Paraíba,Masculino,25 a 34 anos,Outras,Candomblé,Fundamental,1,1,Muito pior,2
53,Norte,Pará,Feminino,60 anos ou mais,Parda,Católica,Fundamental,1,3,Igual,Não votou
54,Sudeste,Minas Gerais,Feminino,25 a 34 anos,Parda,Evangélica,Médio,2,3,Pouco pior,1
55,Sudeste,São Paulo,Feminino,16 e 17 anos,Branca,É Ateu/Agnóstico/ Não Acredita Em Deus,Médio,2,4,Pouco pior,2
56,Sul,Santa Catarina,Feminino,45 a 59 anos,Parda,Não Tem Religião,Médio,2,1,Muito melhor,Não votou
57,Sudeste,Rio De Janeiro,Masculino,45 a 59 anos,Parda,Evangélica,Médio,1,3,Pouco melhor,1
58,Norte,Pará,Masculino,60 anos ou mais,Branca,Católica,Médio,4,3,Igual,2
59,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Católica,Médio,4,4,Pouco pior,1
60,Nordeste,Bahia,Feminino,45 a 59 anos,Outras,Católica,Fundamental,Não sabe,1,Não respondeu,2
61,Centro-Oeste,Mato Grosso,Feminino,25 a 34 anos,Parda,Evangélica,Superior,2,4,Muito melhor,1
62,Sul,Santa Catarina,Masculino,35 a 44 anos,Branca,Católica,Médio,4,2,Muito pior,2
63,Nordeste,Piauí,Masculino,60 anos ou mais,Parda,Católica,Médio,3,2,Pouco melhor,1
64,Nordeste,Maranhão,Masculino,60 anos ou mais,Parda,Católica,Fundamental,1,1,Muito pior,2
65,Sul,Santa Catarina,Masculino,25 a 34 anos,Preta,Não Tem Religião,Superior,3,3,Muito pior,2
66,Sul,Paraná,Feminino,60 anos ou mais,Branca,Católica,Médio,1,3,Igual,2
67,Sudeste,São Paulo,Masculino,18 a 24 anos,Branca,Católica,Médio,3,3,Igual,1
68,Sudeste,São Paulo,Masculino,45 a 59 anos,Preta,Católica,Médio,4,2,Pouco pior,2
69,Sul,Paraná,Masculino,45 a 59 anos,Branca,Católica,Médio,2,3,Igual,1
70,Nordeste,Maranhão,Masculino,45 a 59 anos,Branca,Católica,Médio,2,2,Igual,2
71,Centro-Oeste,Distrito Federal,Feminino,35 a 44 anos,Branca,"Espírita Kardecista, Espiritualista",Superior,3,3,Muito pior,2
72,Nordeste,Pernambuco,Masculino,35 a 44 anos,Parda,Evangélica,Médio,1,4,Muito melhor,1
73,Nordeste,Piauí,Feminino,18 a 24 anos,Parda,Católica,Médio,3,1,Muito pior,Não votou
74,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Branca,Evangélica,Fundamental,2,2,Pouco melhor,2
75,Sudeste,São Paulo,Masculino,45 a 59 anos,Preta,Católica,Médio,2,1,Pouco pior,Não votou
76,Sudeste,Minas Gerais,Masculino,45 a 59 anos,Parda,Não Tem Religião,Superior,1,1,Pouco pior,2
77,Centro-Oeste,Distrito Federal,Masculino,35 a 44 anos,Branca,Católica,Fundamental,4,4,Igual,6
78,Sudeste,São Paulo,Masculino,35 a 44 anos,Outras,Não Tem Religião,Médio,2,4,Pouco pior,1
79,Nordeste,Ceará,Feminino,60 anos ou mais,Branca,Católica,Médio,3,3,Pouco pior,1
80,Norte,Pará,Masculino,60 anos ou mais,Parda,Católica,Fundamental,4,1,Pouco melhor,2
81,Sudeste,São Paulo,Feminino,45 a 59 anos,Branca,Católica,Médio,2,3,Pouco melhor,6
82,Sudeste,Minas Gerais,Masculino,18 a 24 anos,Preta,Evangélica,Médio,4,1,Muito melhor,1
83,Centro-Oeste,Mato Grosso Do Sul,Feminino,35 a 44 anos,Parda,Católica,Fundamental,3,1,Igual,2
84,Nordeste,Sergipe,Masculino,60 anos ou mais,Outras,Evangélica,Fundamental,1,4,Pouco melhor,Não votou
85,Sul,Paraná,Masculino,35 a 44 anos,Branca,Evangélica,Médio,1,3,Pouco melhor,1
86,Sudeste,São Paulo,Masculino,25 a 34 anos,Parda,Católica,Superior,2,4,Igual,Não votou
87,Nordeste,Rio Grande Do Norte,Masculino,25 a 34 anos,Branca,Evangélica,Superior,3,3,Muito melhor,1
88,Sudeste,São Paulo,Masculino,45 a 59 anos,Branca,Católica,Médio,1,4,Pouco pior,1
89,Sudeste,São Paulo,Masculino,45 a 59 anos,Branca,Católica,Médio,1,1,Muito melhor,1
90,Nordeste,Pernambuco,Masculino,45 a 59 anos,Branca,Católica,Fundamental,1,3,Muito pior,Não votou
91,Sudeste,Rio De Janeiro,Feminino,60 anos ou mais,Branca,Católica,Médio,2,2,Muito melhor,1
92,Nordeste,Pernambuco,Masculino,45 a 59 anos,Parda,É Ateu/Agnóstico/ Não Acredita Em Deus,Fundamental,4,4,Muito pior,4
93,Sul,Paraná,Masculino,35 a 44 anos,Branca,Católica,Médio,2,3,Muito melhor,1
94,Sudeste,São Paulo,Feminino,25 a 34 anos,Parda,Umbanda,Fundamental,3,4,Muito pior,2
95,Sudeste,São Paulo,Feminino,18 a 24 anos,Parda,Evangélica,Médio,3,3,Igual,2
96,Norte,Pará,Masculino,45 a 59 anos,Preta,Evangélica,Superior,1,1,Muito melhor,1
97,Nordeste,Maranhão,Feminino,25 a 34 anos,Parda,Evangélica,Médio,Não sabe,Não sabe,Não sabe,2
98,Centro-Oeste,Mato Grosso Do Sul,Masculino,60 anos ou mais,Parda,Católica,Fundamental,1,4,Igual,2
99,Nordeste,Piauí,Feminino,45 a 59 anos,Parda,Católica,Fundamental,1,3,Muito pior,2
100,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Evangélica,Superior,3,3,Pouco melhor,1
101,Nordeste,Alagoas,Feminino,35 a 44 anos,Parda,Católica,Fundamental,4,3,Pouco pior,2
102,Centro-Oeste,Mato Grosso Do Sul,Masculino,25 a 34 anos,Preta,Católica,Superior,3,3,Pouco melhor,Não votou
103,Nordeste,Ceará,Masculino,18 a 24 anos,Branca,Evangélica,Médio,4,2,Pouco melhor,1
104,Sudeste,Minas Gerais,Feminino,60 anos ou mais,Preta,Católica,Fundamental,4,3,Pouco pior,2
105,Nordeste,Pernambuco,Feminino,25 a 34 anos,Branca,Católica,Superior,3,2,Muito pior,Não votou
106,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Branca,Católica,Médio,2,2,Pouco pior,2
107,Centro-Oeste,Goiás,Masculino,60 anos ou mais,Parda,Evangélica,Fundamental,2,4,Muito pior,2
108,Nordeste,Bahia,Feminino,25 a 34 anos,Preta,Evangélica,Médio,2,2,Igual,3
109,Nordeste,Sergipe,Feminino,16 e 17 anos,Preta,Católica,Médio,3,3,Pouco pior,2
110,Sul,Santa Catarina,Masculino,25 a 34 anos,Parda,É Ateu/Agnóstico/ Não Acredita Em Deus,Superior,3,1,Muito pior,2
111,Norte,Amapá,Masculino,18 a 24 anos,Parda,Católica,Médio,3,3,Pouco pior,1
112,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Evangélica,Médio,3,3,Igual,6
113,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Evangélica,Médio,3,3,Pouco melhor,1
114,Sudeste,Minas Gerais,Feminino,18 a 24 anos,Preta,Evangélica,Médio,2,2,Pouco melhor,2
115,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,Não Tem Religião,Médio,3,3,Muito pior,2
116,Sul,Paraná,Feminino,60 anos ou mais,Preta,Católica,Superior,3,3,Pouco melhor,1
117,Sudeste,São Paulo,Masculino,60 anos ou mais,Branca,Católica,Fundamental,4,3,Pouco pior,2
118,Norte,Acre,Masculino,45 a 59 anos,Parda,Católica,Fundamental,3,3,Pouco pior,1
119,Centro-Oeste,Distrito Federal,Feminino,25 a 34 anos,Parda,Evangélica,Superior,3,4,Pouco melhor,1
120,Sudeste,São Paulo,Feminino,45 a 59 anos,Branca,Católica,Superior,1,3,Muito melhor,1
121,Centro-Oeste,Distrito Federal,Feminino,45 a 59 anos,Branca,Evangélica,Fundamental,2,3,Pouco melhor,1
122,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Preta,Católica,Superior,2,2,Igual,2
123,Norte,Pará,Feminino,18 a 24 anos,Parda,Evangélica,Médio,2,2,Pouco pior,2
124,Nordeste,Rio Grande Do Norte,Masculino,35 a 44 anos,Parda,Católica,Fundamental,4,4,Muito pior,1
125,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Branca,Católica,Fundamental,3,3,Muito pior,Não votou
126,Sudeste,São Paulo,Masculino,60 anos ou mais,Branca,Católica,Fundamental,3,Não sabe,Muito pior,2
127,Sudeste,São Paulo,Feminino,35 a 44 anos,Preta,Candomblé,Superior,2,2,Muito pior,1
128,Nordeste,Sergipe,Masculino,35 a 44 anos,Parda,Católica,Médio,3,3,Muito pior,4
129,Nordeste,Rio Grande Do Norte,Feminino,25 a 34 anos,Parda,Não Tem Religião,Fundamental,2,2,Muito pior,1
130,Centro-Oeste,Mato Grosso Do Sul,Feminino,25 a 34 anos,Parda,Católica,Superior,4,4,Muito melhor,Não votou
131,Sudeste,São Paulo,Feminino,35 a 44 anos,Parda,Católica,Médio,3,2,Pouco melhor,1
132,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Católica,Médio,3,3,Pouco melhor,Não votou
133,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Católica,Médio,3,2,Pouco pior,3
134,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Branca,Evangélica,Médio,2,3,Pouco pior,1
135,Sudeste,Rio De Janeiro,Masculino,45 a 59 anos,Parda,Católica,Fundamental,2,3,Pouco melhor,1
136,Sul,Paraná,Feminino,45 a 59 anos,Preta,Católica,Superior,2,2,Igual,2
137,Sul,Rio Grande Do Sul,Feminino,25 a 34 anos,Preta,É Ateu/Agnóstico/ Não Acredita Em Deus,Médio,Não sabe,2,Pouco pior,3
138,Sul,Paraná,Feminino,60 anos ou mais,Branca,Católica,Fundamental,3,2,Pouco melhor,1
139,Sudeste,São Paulo,Masculino,45 a 59 anos,Parda,Evangélica,Médio,3,4,Muito pior,2
140,Nordeste,Bahia,Masculino,25 a 34 anos,Parda,Católica,Fundamental,2,2,Pouco melhor,Não votou
141,Sudeste,Minas Gerais,Feminino,25 a 34 anos,Branca,Católica,Superior,2,2,Muito melhor,1
142,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Evangélica,Fundamental,3,1,Muito pior,1
143,Sul,Paraná,Masculino,35 a 44 anos,Parda,Evangélica,Fundamental,2,3,Pouco melhor,1
144,Sudeste,São Paulo,Feminino,25 a 34 anos,Branca,Católica,Superior,2,4,Muito pior,1
145,Sudeste,São Paulo,Feminino,45 a 59 anos,Branca,Católica,Superior,3,2,Muito pior,2
146,Nordeste,Maranhão,Masculino,18 a 24 anos,Preta,Não Sabe,Fundamental,Não sabe,Não sabe,Não respondeu,2
147,Sudeste,Minas Gerais,Feminino,25 a 34 anos,Preta,Evangélica,Médio,1,1,Muito melhor,1
148,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Preta,Evangélica,Médio,3,3,Pouco melhor,1
149,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Parda,Evangélica,Fundamental,2,2,Pouco melhor,1
150,Nordeste,Alagoas,Feminino,25 a 34 anos,Parda,Evangélica,Superior,4,3,Igual,3
151,Nordeste,Alagoas,Masculino,25 a 34 anos,Parda,Católica,Fundamental,1,3,Muito melhor,1
152,Sudeste,São Paulo,Masculino,25 a 34 anos,Preta,Umbanda,Médio,3,1,Pouco melhor,2
153,Sudeste,São Paulo,Masculino,45 a 59 anos,Preta,Não Respondeu,Superior,3,1,Muito melhor,2
154,Sudeste,São Paulo,Masculino,45 a 59 anos,Branca,Católica,Médio,1,4,Muito melhor,1
155,Sudeste,São Paulo,Feminino,45 a 59 anos,Branca,"Espírita Kardecista, Espiritualista",Superior,4,2,Muito pior,2
156,Sudeste,São Paulo,Masculino,18 a 24 anos,Branca,Católica,Fundamental,3,4,Muito pior,Não votou
157,Nordeste,Ceará,Masculino,18 a 24 anos,Parda,Católica,Médio,3,3,Igual,1
158,Sudeste,São Paulo,Masculino,25 a 34 anos,Preta,Candomblé,Fundamental,2,2,Muito pior,2
159,Norte,Pará,Masculino,35 a 44 anos,Preta,Católica,Superior,3,3,Pouco pior,2
160,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,Católica,Superior,4,1,Pouco pior,2
161,Sudeste,Minas Gerais,Feminino,35 a 44 anos,Parda,Evangélica,Médio,2,2,Igual,1
162,Sudeste,Minas Gerais,Feminino,25 a 34 anos,Parda,Evangélica,Superior,4,3,Pouco melhor,1
163,Sudeste,Minas Gerais,Feminino,35 a 44 anos,Preta,Católica,Superior,3,1,Igual,2
164,Nordeste,Alagoas,Feminino,25 a 34 anos,Parda,Católica,Superior,3,4,Muito melhor,1
165,Nordeste,Maranhão,Feminino,18 a 24 anos,Parda,Evangélica,Fundamental,1,1,Pouco melhor,2
166,Norte,Tocantins,Feminino,45 a 59 anos,Parda,Evangélica,Superior,3,2,Pouco melhor,3
167,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Umbanda,Superior,1,4,Muito melhor,1
168,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Católica,Médio,1,2,Igual,Não votou
169,Sul,Rio Grande Do Sul,Feminino,60 anos ou mais,Branca,Evangélica,Superior,1,2,Muito melhor,1
170,Norte,Pará,Feminino,35 a 44 anos,Parda,Evangélica,Médio,4,3,Pouco pior,2
171,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Evangélica,Médio,2,2,Pouco melhor,1
172,Sudeste,Rio De Janeiro,Masculino,35 a 44 anos,Parda,Umbanda,Médio,2,3,Pouco pior,1
173,Sudeste,Rio De Janeiro,Masculino,45 a 59 anos,Branca,Católica,Superior,1,1,Igual,2
174,Sudeste,Minas Gerais,Feminino,35 a 44 anos,Parda,Católica,Fundamental,1,4,Muito melhor,1
175,Nordeste,Ceará,Masculino,18 a 24 anos,Parda,Católica,Superior,3,1,Pouco melhor,6
176,Nordeste,Ceará,Masculino,60 anos ou mais,Preta,Católica,Fundamental,1,4,Igual,Não votou
177,Sudeste,São Paulo,Masculino,18 a 24 anos,Parda,Não Tem Religião,Médio,3,3,Pouco pior,2
178,Norte,Pará,Masculino,45 a 59 anos,Parda,Católica,Superior,4,2,Pouco pior,2
179,Centro-Oeste,Goiás,Masculino,45 a 59 anos,Parda,Católica,Médio,1,3,Muito melhor,1
180,Norte,Pará,Masculino,25 a 34 anos,Parda,Católica,Médio,1,3,Muito pior,2
181,Sudeste,São Paulo,Masculino,45 a 59 anos,Preta,Acredita em Deus,Médio,4,3,Muito pior,2
182,Sul,Paraná,Masculino,45 a 59 anos,Parda,Católica,Médio,1,1,Muito melhor,1
183,Nordeste,Alagoas,Feminino,18 a 24 anos,Branca,Não Tem Religião,Médio,4,3,Igual,3
184,Sul,Paraná,Feminino,60 anos ou mais,Outras,Evangélica,Fundamental,3,3,Igual,Não votou
185,Nordeste,Paraíba,Masculino,25 a 34 anos,Outras,Evangélica,Médio,3,1,Muito melhor,1
186,Norte,Amazonas,Feminino,35 a 44 anos,Preta,Evangélica,Fundamental,3,2,Pouco melhor,1
187,Nordeste,Rio Grande Do Norte,Masculino,18 a 24 anos,Parda,Católica,Médio,2,2,Igual,1
188,Sul,Paraná,Feminino,60 anos ou mais,Branca,Católica,Fundamental,1,3,Pouco pior,Não votou
189,Nordeste,Ceará,Masculino,45 a 59 anos,Parda,Evangélica,Superior,1,2,Muito melhor,1
190,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Parda,Evangélica,Fundamental,2,2,Pouco pior,1
191,Sudeste,Rio De Janeiro,Feminino,60 anos ou mais,Parda,Evangélica,Médio,1,3,Pouco pior,Não votou
192,Norte,Pará,Masculino,18 a 24 anos,Parda,Evangélica,Médio,4,3,Pouco melhor,1
193,Sul,Paraná,Feminino,35 a 44 anos,Preta,É Ateu/Agnóstico/ Não Acredita Em Deus,Médio,2,3,Pouco pior,Não votou
194,Nordeste,Rio Grande Do Norte,Feminino,25 a 34 anos,Parda,Católica,Médio,3,1,Igual,1
195,Nordeste,Ceará,Masculino,45 a 59 anos,Preta,Católica,Fundamental,1,1,Pouco melhor,1
196,Nordeste,Maranhão,Masculino,45 a 59 anos,Parda,Católica,Fundamental,1,1,Muito melhor,2
197,Sudeste,Rio De Janeiro,Masculino,35 a 44 anos,Parda,Católica,Fundamental,3,1,Igual,2
198,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Parda,Católica,Fundamental,2,2,Pouco melhor,2
199,Nordeste,Maranhão,Feminino,45 a 59 anos,Parda,Católica,Fundamental,4,3,Muito pior,2
200,Sudeste,São Paulo,Feminino,60 anos ou mais,Parda,Evangélica,Fundamental,4,3,Igual,1
201,Sudeste,São Paulo,Masculino,45 a 59 anos,Preta,Católica,Médio,1,2,Pouco melhor,1
202,Sul,Santa Catarina,Feminino,60 anos ou mais,Branca,Católica,Superior,3,2,Muito pior,Não votou
203,Nordeste,Piauí,Feminino,35 a 44 anos,Parda,Católica,Médio,1,1,Pouco melhor,2
204,Sudeste,Rio De Janeiro,Feminino,35 a 44 anos,Parda,Não Tem Religião,Fundamental,4,2,Muito pior,2
205,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Católica,Médio,3,3,Muito pior,2
206,Sudeste,Rio De Janeiro,Feminino,35 a 44 anos,Branca,Não Tem Religião,Superior,3,2,Pouco pior,2
207,Sul,Santa Catarina,Feminino,35 a 44 anos,Parda,Evangélica,Médio,2,4,Muito melhor,1
208,Sudeste,São Paulo,Feminino,25 a 34 anos,Parda,Evangélica,Superior,1,1,Muito pior,1
209,Nordeste,Pernambuco,Feminino,18 a 24 anos,Preta,Católica,Superior,3,3,Igual,2
210,Sudeste,São Paulo,Masculino,35 a 44 anos,Branca,Católica,Superior,2,3,Igual,1
211,Nordeste,Piauí,Masculino,18 a 24 anos,Parda,Católica,Médio,3,3,Muito pior,2
212,Nordeste,Ceará,Masculino,35 a 44 anos,Parda,Católica,Superior,2,2,Pouco pior,2
213,Sudeste,São Paulo,Masculino,25 a 34 anos,Branca,Evangélica,Médio,2,3,Muito melhor,1
214,Nordeste,Piauí,Masculino,25 a 34 anos,Parda,Católica,Médio,2,1,Pouco melhor,2
215,Sudeste,Rio De Janeiro,Masculino,45 a 59 anos,Branca,Católica,Médio,1,3,Igual,1
216,Norte,Amapá,Feminino,45 a 59 anos,Parda,Católica,Médio,3,3,Pouco melhor,1
217,Sudeste,Rio De Janeiro,Masculino,45 a 59 anos,Preta,Não Tem Religião,Médio,3,1,Muito pior,2
218,Nordeste,Alagoas,Masculino,35 a 44 anos,Parda,Católica,Médio,1,2,Pouco melhor,1
219,Nordeste,Piauí,Masculino,25 a 34 anos,Parda,Católica,Médio,3,3,Igual,2
220,Nordeste,Maranhão,Feminino,35 a 44 anos,Branca,Católica,Médio,3,3,Igual,2
221,Sudeste,Minas Gerais,Masculino,45 a 59 anos,Branca,Evangélica,Fundamental,2,3,Muito pior,1
222,Sudeste,Minas Gerais,Masculino,60 anos ou mais,Branca,Evangélica,Médio,1,4,Pouco melhor,1
223,Nordeste,Maranhão,Feminino,60 anos ou mais,Branca,Católica,Fundamental,2,Não sabe,Pouco pior,2
224,Sudeste,São Paulo,Masculino,45 a 59 anos,Branca,Católica,Médio,2,2,Muito melhor,1
225,Sudeste,São Paulo,Feminino,25 a 34 anos,Parda,Evangélica,Médio,3,3,Pouco melhor,1
226,Sudeste,Rio De Janeiro,Masculino,35 a 44 anos,Parda,Não Tem Religião,Médio,2,1,Muito pior,Não votou
227,Sudeste,Rio De Janeiro,Feminino,25 a 34 anos,Parda,Evangélica,Superior,3,2,Pouco melhor,1
228,Sudeste,São Paulo,Masculino,25 a 34 anos,Outras,É Ateu/Agnóstico/ Não Acredita Em Deus,Superior,4,2,Pouco melhor,2
229,Nordeste,Maranhão,Masculino,35 a 44 anos,Parda,Católica,Médio,2,3,Pouco pior,2
230,Centro-Oeste,Goiás,Feminino,45 a 59 anos,Parda,Católica,Fundamental,3,3,Pouco melhor,Não votou
231,Sudeste,São Paulo,Masculino,18 a 24 anos,Parda,Católica,Médio,1,1,Muito pior,2
232,Sudeste,Minas Gerais,Masculino,60 anos ou mais,Preta,Evangélica,Fundamental,1,3,Igual,2
233,Sudeste,Espírito Santo,Masculino,25 a 34 anos,Preta,Evangélica,Médio,1,3,Igual,1
234,Centro-Oeste,Mato Grosso,Masculino,60 anos ou mais,Preta,"Espírita Kardecista, Espiritualista",Fundamental,3,1,Pouco pior,2
235,Sudeste,São Paulo,Masculino,60 anos ou mais,Branca,Evangélica,Médio,1,4,Muito melhor,1
236,Sudeste,Minas Gerais,Feminino,18 a 24 anos,Branca,Católica,Médio,3,3,Pouco melhor,1
237,Sudeste,São Paulo,Masculino,35 a 44 anos,Parda,Evangélica,Médio,3,2,Igual,1
238,Sudeste,Minas Gerais,Masculino,25 a 34 anos,Branca,Católica,Superior,2,2,Muito melhor,1
239,Sul,Paraná,Feminino,25 a 34 anos,Preta,Evangélica,Médio,3,3,Pouco melhor,Não votou
240,Sudeste,Minas Gerais,Feminino,45 a 59 anos,Parda,Não Tem Religião,Fundamental,4,4,Muito pior,2
241,Nordeste,Rio Grande Do Norte,Masculino,18 a 24 anos,Parda,Católica,Médio,3,3,Pouco pior,2
242,Sudeste,São Paulo,Masculino,18 a 24 anos,Preta,Evangélica,Superior,2,3,Muito melhor,1
243,Nordeste,Pernambuco,Masculino,45 a 59 anos,Preta,Não Tem Religião,Fundamental,3,3,Pouco pior,2
244,Sudeste,São Paulo,Feminino,35 a 44 anos,Branca,Católica,Médio,1,3,Muito melhor,Não votou
245,Nordeste,Pernambuco,Feminino,25 a 34 anos,Parda,Evangélica,Médio,3,3,Igual,1
